algorithm,num_agents,num_items,distribution,min_value,sum_value,execution_time
Sequential,10,200,exponential,143.0,2047.0,0.0
Markakis&Psomas,10,200,exponential,541.0,12437.0,0.029901504516601562
RoundRobin,10,200,exponential,446.0,5923.0,0.0006649494171142578
Sequential,10,200,exponential,148.0,1779.0,0.0
Markakis&Psomas,10,200,exponential,401.0,12400.0,0.025477170944213867
RoundRobin,10,200,exponential,386.0,6074.0,0.0
Sequential,10,200,exponential,136.0,1798.0,0.005362510681152344
Markakis&Psomas,10,500,uniform,2409.0,39949.0,0.04702949523925781
RoundRobin,10,500,uniform,2283.0,24350.0,0.0017414093017578125
Sequential,10,500,uniform,99.0,990.0,0.0
Markakis&Psomas,10,500,uniform,2431.0,39643.0,0.042917490005493164
RoundRobin,10,500,uniform,2303.0,25503.0,0.0
Sequential,10,500,uniform,99.0,990.0,0.0
Markakis&Psomas,10,500,uniform,2316.0,39916.0,0.0440826416015625
RoundRobin,10,500,uniform,2206.0,24847.0,0.0
Sequential,10,500,uniform,99.0,990.0,0.0
Markakis&Psomas,10,500,uniform,2333.0,39658.0,0.04122138023376465
RoundRobin,10,500,uniform,2088.0,24473.0,0.0020225048065185547
Sequential,10,500,uniform,99.0,990.0,0.0
Markakis&Psomas,10,500,uniform,2438.0,39268.0,0.043494462966918945
RoundRobin,10,500,uniform,2334.0,25948.0,0.003219127655029297
Sequential,10,500,uniform,99.0,990.0,0.0
Markakis&Psomas,10,500,normal,2379.0,36282.0,0.0895237922668457
RoundRobin,10,500,normal,2254.0,24256.0,0.0
Sequential,10,500,normal,99.0,1097.0,0.0019299983978271484
Markakis&Psomas,10,500,normal,2416.0,36371.0,0.04701852798461914
RoundRobin,10,500,normal,2276.0,24226.0,0.0
Sequential,10,500,normal,101.0,1111.0,0.0
Markakis&Psomas,10,500,normal,2383.0,36654.0,0.05384969711303711
RoundRobin,10,500,normal,2267.0,24831.0,0.0
Sequential,10,500,normal,99.0,1117.0,0.0038673877716064453
