num_of_agents,num_of_items,agent_capacity,supply_ratio,num_of_popular_items,mean_num_of_favorite_items,favorite_item_value_bounds,nonfavorite_item_value_bounds,algorithm,random_seed,solver,utilitarian_value,egalitarian_value,max_envy,mean_envy,max_deficit,mean_deficit,num_with_top_1,num_with_top_2,num_with_top_3,runtime
100,25,5,1.25,9,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,1,,96.78479684,88.59060403,4.11311054,0.041131105,0,0.0,100,100,100,0.4182862
100,25,5,1.25,9,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,2,,97.07636466,86.62131519,0.0,0.0,0,0.0,100,100,100,0.4403934
100,25,5,1.25,9,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,3,,96.40885631,84.69135802,0.436681223,0.004366812,0,0.0,100,100,100,0.4999761
100,25,5,1.25,9,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,4,,96.17355685,86.43326039,4.022988506,0.053357978,0,0.0,100,100,100,0.4689424
100,25,5,1.25,9,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,0,,96.20850938,84.23236515,3.58974359,0.035897436,0,0.0,100,100,100,0.4764008
100,25,5,1.25,9,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,1,,96.78479684,88.59060403,4.11311054,0.041131105,0,0.0,100,100,100,0.5166994
100,25,5,1.25,9,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,2,,97.07636466,86.62131519,0.0,0.0,0,0.0,100,100,100,0.5164571
100,25,5,1.25,9,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,3,,96.40885631,84.69135802,0.436681223,0.004366812,0,0.0,100,100,100,0.4694542
100,25,5,1.25,9,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,4,,96.17355685,86.43326039,4.022988506,0.053357978,0,0.0,100,100,100,0.461874
100,25,5,1.25,9,2.6,"(50, 100)","(0, 50)",TTC_function,0,,96.27004832,87.16707022,3.826530612,0.074162742,0,0.0,100,100,100,0.0585501
100,25,5,1.25,9,2.6,"(50, 100)","(0, 50)",TTC_function,1,,96.76131194,88.59060403,4.11311054,0.061722562,0,0.0,100,100,100,0.0588732
100,25,5,1.25,9,2.6,"(50, 100)","(0, 50)",TTC_function,2,,97.11030395,81.63771712,4.714640199,0.062116462,0,0.0,100,100,100,0.0549656
100,25,5,1.25,9,2.6,"(50, 100)","(0, 50)",TTC_function,3,,96.47428206,84.69135802,3.365384615,0.057023034,0,0.0,100,100,100,0.0649487
100,25,5,1.25,9,2.6,"(50, 100)","(0, 50)",TTC_function,4,,96.16078341,86.43326039,11.75213675,0.176254406,0,0.0,100,100,100,0.0565453
100,25,5,1.25,9,2.6,"(50, 100)","(0, 50)",SP_function,0,,95.99731833,83.11965812,4.569892473,0.091656539,0,0.0,100,100,100,0.0688151
100,25,5,1.25,9,2.6,"(50, 100)","(0, 50)",SP_function,1,,96.47501807,88.59060403,0.519480519,0.005194805,0,0.0,100,100,100,0.0717808
100,25,5,1.25,9,2.6,"(50, 100)","(0, 50)",SP_function,2,,96.79428795,87.07482993,2.059496568,0.02658299,0,0.0,100,100,100,0.0664436
100,25,5,1.25,9,2.6,"(50, 100)","(0, 50)",SP_function,3,,96.25894081,84.69135802,3.365384615,0.056671749,0,0.0,100,100,100,0.0652501
100,25,5,1.25,9,2.6,"(50, 100)","(0, 50)",SP_function,4,,95.8588991,86.47214854,10.47008547,0.168803419,0,0.0,100,100,100,0.0744255
100,25,5,1.25,9,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,0,,90.42709583,77.34204793,5.977011494,0.240626286,0,0.0,100,100,100,0.5520942
100,25,5,1.25,9,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,1,,90.71497117,80.07590133,6.930693069,0.116460185,0,0.0,100,100,100,0.4764813
100,25,5,1.25,9,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,2,,91.16346705,80.73394495,5.581395349,0.084942464,0,0.0,100,100,100,0.4419057
100,25,5,1.25,9,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,3,,90.15195373,77.62863535,4.466501241,0.095899057,0,0.0,100,100,100,0.5495652
100,25,5,1.25,9,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,4,,90.48896871,76.75350701,10.22044088,0.174437331,0,0.0,100,100,100,0.4393855
100,25,5,1.25,9,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,0,,90.42709583,77.34204793,5.977011494,0.240626286,0,0.0,100,100,100,0.4390493
100,25,5,1.25,9,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,1,,90.71497117,80.07590133,6.930693069,0.116460185,0,0.0,100,100,100,0.4970764
100,25,5,1.25,9,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,2,,91.16346705,80.73394495,5.581395349,0.084942464,0,0.0,100,100,100,0.4552042
100,25,5,1.25,9,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,3,,90.15195373,77.62863535,4.466501241,0.095899057,0,0.0,100,100,100,0.4342761
