num_of_players,num_of_gifts,value_noise_ratio,algorithm,random_seed,total_value,min_value,s1,s2,s3,s4,runtime
6,15,0.0,round_robin,3,708,100,['c2'],['c3'],['c1'],['c6'],0.0006561999907717109
6,15,0.0,round_robin,4,684,75,['c6'],['c3'],['c4'],['c9'],0.0007204000139608979
6,16,0.0,round_robin,0,640,86,['c5'],['c4'],['c11'],['c2'],0.0008955999510362744
6,16,0.0,round_robin,1,600,87,['c1'],['c16'],['c5'],['c2'],0.0007179999956861138
6,16,0.0,round_robin,2,692,76,['c14'],['c5'],['c13'],['c12'],0.0005893000634387136
6,16,0.0,round_robin,3,678,108,['c6'],['c3'],['c2'],['c15'],0.0005901999538764358
6,16,0.0,round_robin,4,696,77,['c16'],['c8'],['c3'],['c9'],0.0005955999949947
7,8,0.0,santa_claus_main,0,1069,100,['c5'],['c4'],['c2'],['c1'],9.992863400024362
7,8,0.0,santa_claus_main,1,1028,105,['c1'],['c5'],['c6'],['c4'],9.149327900027856
7,8,0.0,santa_claus_main,2,944,78,['c5'],['c8'],['c7'],['c1'],9.296666599926539
7,8,0.0,santa_claus_main,3,1082,108,['c7'],['c6'],['c3'],['c1'],9.240990199963562
7,8,0.0,santa_claus_main,4,1050,85,['c8'],['c5'],['c6'],['c4'],9.217654599924572
7,8,0.0,round_robin,0,1069,100,['c5'],['c4'],['c2'],['c1'],0.0005483001004904509
7,8,0.0,round_robin,1,1028,105,['c1'],['c5'],['c6'],['c4'],0.000570800038985908
7,8,0.0,round_robin,2,944,78,['c5'],['c8'],['c7'],['c1'],0.0005624000914394855
7,8,0.0,round_robin,3,1082,108,['c7'],['c6'],['c3'],['c1'],0.0005636999849230051
7,8,0.0,round_robin,4,1050,85,['c8'],['c5'],['c6'],['c4'],0.0005590000655502081
7,9,0.0,santa_claus_main,0,1031,94,['c5'],['c1'],['c4'],['c2'],19.821370900026523
7,9,0.0,santa_claus_main,1,975,107,['c1'],['c6'],['c2'],['c4'],6816.13025009993
7,9,0.0,round_robin,0,1031,94,['c5'],['c1'],['c4'],['c2'],0.0006444000173360109
7,9,0.0,round_robin,1,975,107,['c1'],['c6'],['c2'],['c4'],0.0006666000699624419
7,9,0.0,round_robin,2,941,77,['c5'],['c7'],['c3'],['c8'],0.0006176999304443598
7,9,0.0,round_robin,3,995,79,['c6'],['c7'],['c3'],['c2'],0.0006022999295964837
7,9,0.0,round_robin,4,996,88,['c4'],['c3'],['c9'],['c8'],0.0006470000371336937
7,10,0.0,santa_claus_main,0,904,89,['c1'],['c5'],['c2'],['c4'],45.84391359996516
7,10,0.0,round_robin,0,904,89,['c1'],['c5'],['c2'],['c4'],0.0005989000201225281
7,10,0.0,round_robin,1,907,110,['c5'],['c9'],['c6'],['c2'],0.0005930999759584665
7,10,0.0,round_robin,2,837,70,['c7'],['c5'],['c8'],['c1'],0.0006050999509170651
7,10,0.0,round_robin,3,1022,114,['c3'],['c7'],['c2'],['c6'],0.0006058000726625323
7,10,0.0,round_robin,4,977,86,['c3'],['c9'],['c4'],['c8'],0.0005877000512555242
7,11,0.0,round_robin,0,909,99,['c1'],['c11'],['c5'],['c4'],0.0006257999921217561
7,11,0.0,round_robin,1,919,99,['c5'],['c2'],['c10'],['c9'],0.0006246999837458134
7,11,0.0,round_robin,2,916,90,['c8'],['c7'],['c5'],['c1'],0.0006722999969497323
7,11,0.0,round_robin,3,901,105,['c6'],['c3'],['c2'],['c7'],0.0006243000971153378
7,11,0.0,round_robin,4,875,82,['c4'],['c8'],['c3'],['c9'],0.0005921999691054225
7,12,0.0,round_robin,0,812,93,['c11'],['c12'],['c5'],['c2'],0.0007442000787705183
7,12,0.0,round_robin,1,815,107,['c5'],['c6'],['c2'],['c1'],0.0006986999651417136
7,12,0.0,round_robin,2,896,95,['c7'],['c8'],['c5'],['c12'],0.0006626000395044684
7,12,0.0,round_robin,3,904,66,['c3'],['c1'],['c2'],['c7'],0.0006207999540492892
7,12,0.0,round_robin,4,950,74,['c9'],['c8'],['c4'],['c3'],0.0006449000211432576
7,13,0.0,round_robin,0,789,78,['c5'],['c12'],['c11'],['c4'],0.0006011000368744135
7,13,0.0,round_robin,1,784,102,['c2'],['c9'],['c1'],['c4'],0.0006061000749468803
7,13,0.0,round_robin,2,903,89,['c7'],['c12'],['c8'],['c13'],0.0006093999836593866
7,13,0.0,round_robin,3,830,84,['c2'],['c1'],['c7'],['c3'],0.0006228999700397253
7,13,0.0,round_robin,4,911,86,['c8'],['c3'],['c9'],['c4'],0.0005942001007497311
7,14,0.0,round_robin,0,703,76,['c5'],['c11'],['c12'],['c4'],0.000714199966751039
7,14,0.0,round_robin,1,766,94,['c2'],['c1'],['c6'],['c10'],0.0006758000236004591
7,14,0.0,round_robin,2,785,64,['c5'],['c13'],['c7'],['c8'],0.0007065999088808894
7,14,0.0,round_robin,3,778,88,['c3'],['c2'],['c13'],['c1'],0.0007924999808892608
7,14,0.0,round_robin,4,767,67,['c8'],['c3'],['c9'],['c4'],0.00073640001937747
7,15,0.0,round_robin,0,738,70,['c11'],['c5'],['c12'],['c4'],0.0007362000178545713
7,15,0.0,round_robin,1,706,78,['c1'],['c5'],['c2'],['c6'],0.0007006999803707004
7,15,0.0,round_robin,2,773,68,['c5'],['c7'],['c13'],['c8'],0.0007247999310493469
7,15,0.0,round_robin,3,800,92,['c2'],['c3'],['c1'],['c6'],0.0008003999246284366
7,15,0.0,round_robin,4,761,75,['c6'],['c3'],['c4'],['c9'],0.0007129000732675195
7,16,0.0,round_robin,0,730,86,['c5'],['c4'],['c11'],['c2'],0.0007741999579593539
7,16,0.0,round_robin,1,689,87,['c1'],['c16'],['c5'],['c2'],0.0007715999381616712
7,16,0.0,round_robin,2,780,76,['c14'],['c5'],['c13'],['c12'],0.0006697999779134989
7,16,0.0,round_robin,3,772,94,['c6'],['c3'],['c2'],['c15'],0.0007460999768227339
7,16,0.0,round_robin,4,812,77,['c16'],['c8'],['c3'],['c9'],0.000691999914124608
8,8,0.0,santa_claus_main,0,1106,37,['c5'],['c4'],['c2'],['c1'],10.80638620001264
8,8,0.0,santa_claus_main,1,1064,36,['c1'],['c5'],['c6'],['c4'],10.74892100004945
8,8,0.0,santa_claus_main,2,1026,78,['c5'],['c8'],['c7'],['c1'],10.61993209994398
8,8,0.0,santa_claus_main,3,1170,88,['c7'],['c6'],['c3'],['c1'],10.408649599994533
8,8,0.0,santa_claus_main,4,1103,53,['c8'],['c5'],['c6'],['c4'],10.605167499976233
8,8,0.0,round_robin,0,1106,37,['c5'],['c4'],['c2'],['c1'],0.0006050999509170651
8,8,0.0,round_robin,1,1064,36,['c1'],['c5'],['c6'],['c4'],0.0006136000156402588
8,8,0.0,round_robin,2,1026,78,['c5'],['c8'],['c7'],['c1'],0.0006028999341651797
8,8,0.0,round_robin,3,1170,88,['c7'],['c6'],['c3'],['c1'],0.0005907000740990043
8,8,0.0,round_robin,4,1103,53,['c8'],['c5'],['c6'],['c4'],0.0006048999493941665
8,9,0.0,santa_claus_main,0,1134,94,['c5'],['c1'],['c4'],['c2'],22.823971400037408
8,9,0.0,round_robin,0,1134,94,['c5'],['c1'],['c4'],['c2'],0.0007430000696331263
