num_of_agents,num_of_items,value_noise_ratio,beta,delta,use_cache,algorithm,random_seed,utilitarian_value,egalitarian_value,max_envy,mean_envy,max_deficit,mean_deficit,num_with_top_1,num_with_top_2,num_with_top_3,runtime
21,8,0.4,0.001,{0.34},True,tabu_search,2,100.0,100.0,0.0,0.0,0,0.0,21,21,21,0.13657129999774043
21,8,0.4,0.001,{0.34},True,tabu_search,3,100.0,100.0,0.0,0.0,0,0.0,21,21,21,0.15075169999909122
21,8,0.4,0.001,{0.34},True,tabu_search,4,100.0,100.0,0.0,0.0,0,0.0,21,21,21,0.12615749999531545
21,8,0.8,0.001,{0.34},False,tabu_search,0,100.0,100.0,0.0,0.0,0,0.0,21,21,21,0.12171479999960866
21,8,0.8,0.001,{0.34},False,tabu_search,1,100.0,100.0,0.0,0.0,0,0.0,21,21,21,0.11982829999760725
21,8,0.8,0.001,{0.34},False,tabu_search,2,100.0,100.0,0.0,0.0,0,0.0,21,21,21,0.12044750001223292
21,8,0.8,0.001,{0.34},False,tabu_search,3,100.0,100.0,0.0,0.0,0,0.0,21,21,21,0.12229119999392424
21,8,0.8,0.001,{0.34},False,tabu_search,4,100.0,100.0,0.0,0.0,0,0.0,21,21,21,0.1551945999963209
21,8,0.8,0.001,{0.34},True,tabu_search,0,100.0,100.0,0.0,0.0,0,0.0,21,21,21,0.1255234999989625
21,8,0.8,0.001,{0.34},True,tabu_search,1,100.0,100.0,0.0,0.0,0,0.0,21,21,21,0.13056730000243988
21,8,0.8,0.001,{0.34},True,tabu_search,2,100.0,100.0,0.0,0.0,0,0.0,21,21,21,0.12057769999955781
21,8,0.8,0.001,{0.34},True,tabu_search,3,100.0,100.0,0.0,0.0,0,0.0,21,21,21,0.14145920000737533
21,8,0.8,0.001,{0.34},True,tabu_search,4,100.0,100.0,0.0,0.0,0,0.0,21,21,21,0.12213730000075884
21,8,1.0,0.001,{0.34},False,tabu_search,0,100.0,100.0,0.0,0.0,0,0.0,21,21,21,0.12365979999594856
21,8,1.0,0.001,{0.34},False,tabu_search,1,100.0,100.0,0.0,0.0,0,0.0,21,21,21,0.16725990000122692
21,8,1.0,0.001,{0.34},False,tabu_search,2,100.0,100.0,0.0,0.0,0,0.0,21,21,21,0.15917349999654107
21,8,1.0,0.001,{0.34},False,tabu_search,3,100.0,100.0,0.0,0.0,0,0.0,21,21,21,0.1764332999882754
21,8,1.0,0.001,{0.34},False,tabu_search,4,100.0,100.0,0.0,0.0,0,0.0,21,21,21,0.1214585999987321
21,8,1.0,0.001,{0.34},True,tabu_search,0,100.0,100.0,0.0,0.0,0,0.0,21,21,21,0.12385009998979513
21,8,1.0,0.001,{0.34},True,tabu_search,1,100.0,100.0,0.0,0.0,0,0.0,21,21,21,0.11758209999243263
21,8,1.0,0.001,{0.34},True,tabu_search,2,100.0,100.0,0.0,0.0,0,0.0,21,21,21,0.12449099999503233
21,8,1.0,0.001,{0.34},True,tabu_search,3,100.0,100.0,0.0,0.0,0,0.0,21,21,21,0.12927530000160914
21,8,1.0,0.001,{0.34},True,tabu_search,4,100.0,100.0,0.0,0.0,0,0.0,21,21,21,0.1538998000032734
22,8,0.0,0.001,{0.34},False,tabu_search,0,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.1262360999971861
22,8,0.0,0.001,{0.34},False,tabu_search,1,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.12438219999603461
22,8,0.0,0.001,{0.34},False,tabu_search,2,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.15954039999633096
22,8,0.0,0.001,{0.34},False,tabu_search,3,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.12259139999514446
22,8,0.0,0.001,{0.34},False,tabu_search,4,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.12693650000437628
22,8,0.0,0.001,{0.34},True,tabu_search,0,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.12743800001044292
22,8,0.0,0.001,{0.34},True,tabu_search,1,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.1255801000079373
22,8,0.0,0.001,{0.34},True,tabu_search,2,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.14702660001057666
22,8,0.0,0.001,{0.34},True,tabu_search,3,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.12477260000014212
22,8,0.0,0.001,{0.34},True,tabu_search,4,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.12547499999345746
22,8,0.2,0.001,{0.34},False,tabu_search,0,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.1621958000032464
22,8,0.2,0.001,{0.34},False,tabu_search,1,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.12580230001185555
22,8,0.2,0.001,{0.34},False,tabu_search,2,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.12710470000456553
22,8,0.2,0.001,{0.34},False,tabu_search,3,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.1302791000052821
22,8,0.2,0.001,{0.34},False,tabu_search,4,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.12684120000631083
22,8,0.2,0.001,{0.34},True,tabu_search,0,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.12300510000204667
22,8,0.2,0.001,{0.34},True,tabu_search,1,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.12244259999715723
22,8,0.2,0.001,{0.34},True,tabu_search,2,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.17291480000130832
22,8,0.2,0.001,{0.34},True,tabu_search,3,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.12248089999775402
22,8,0.2,0.001,{0.34},True,tabu_search,4,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.12655000000086147
22,8,0.4,0.001,{0.34},False,tabu_search,0,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.1320821999979671
22,8,0.4,0.001,{0.34},False,tabu_search,1,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.1292385000124341
22,8,0.4,0.001,{0.34},False,tabu_search,2,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.12607280000520404
22,8,0.4,0.001,{0.34},False,tabu_search,3,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.1265521000023
22,8,0.4,0.001,{0.34},False,tabu_search,4,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.13458840000384953
22,8,0.4,0.001,{0.34},True,tabu_search,0,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.16378530001384206
22,8,0.4,0.001,{0.34},True,tabu_search,1,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.14716770000813995
22,8,0.4,0.001,{0.34},True,tabu_search,2,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.1331491000019014
22,8,0.4,0.001,{0.34},True,tabu_search,3,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.12958870000147726
22,8,0.4,0.001,{0.34},True,tabu_search,4,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.12412220000987872
22,8,0.8,0.001,{0.34},False,tabu_search,0,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.12938859999121632
22,8,0.8,0.001,{0.34},False,tabu_search,1,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.1293671000021277
22,8,0.8,0.001,{0.34},False,tabu_search,2,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.12446919998910744
22,8,0.8,0.001,{0.34},False,tabu_search,3,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.16311390000919346
22,8,0.8,0.001,{0.34},False,tabu_search,4,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.12963229999877512
22,8,0.8,0.001,{0.34},True,tabu_search,0,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.12936990000889637
22,8,0.8,0.001,{0.34},True,tabu_search,1,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.14339269998890813
22,8,0.8,0.001,{0.34},True,tabu_search,2,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.12875019999046344
22,8,0.8,0.001,{0.34},True,tabu_search,3,100.0,100.0,0.0,0.0,0,0.0,22,22,22,0.13139270000101533
