input_range,equal_capacities,equal_valuations,binary_valuations,num_of_items,category_count,item_capacity_bounds,random_seed_num,num_of_agents,algorithm,current_algorithm_bundle_min_value,current_algorithm_bundle_sum,runtime
input_ranges_algorithm_1,True,True,True,1,61,1,0,1,utilitarian_algorithm,0.0,0.0,0.0009409280028194
input_ranges_algorithm_1,True,True,True,1,61,1,0,1,iterated_maximum_matching,0.0,0.0,0.0008635339909233
input_ranges_algorithm_1,True,True,True,1,61,1,0,16,per_category_round_robin,0.0,1.0,1.3104503439972175
input_ranges_algorithm_1,True,True,True,1,61,1,0,16,per_category_round_robin_optimized,0.0,1.0,1.380626583006233
input_ranges_algorithm_1,True,True,True,1,61,1,0,16,egalitarian_algorithm,0.0625,1.0,0.028825268993387
input_ranges_algorithm_1,True,True,True,1,61,1,0,16,utilitarian_algorithm,0.0,1.0,0.0018658560002222
input_ranges_algorithm_1,True,True,True,1,61,1,0,16,iterated_maximum_matching,0.0,1.0,0.0025878550077322
input_ranges_algorithm_1,True,True,True,1,61,1,0,31,per_category_round_robin,0.0,1.0,5.051327603985556
input_ranges_algorithm_1,True,True,True,1,61,1,0,31,per_category_round_robin_optimized,0.0,1.0,5.0138548240065575
input_ranges_algorithm_1,True,True,True,1,61,1,0,31,egalitarian_algorithm,0.032258064516129,0.9999999999999992,0.0492058749950956
input_ranges_algorithm_1,True,True,True,1,61,1,0,31,utilitarian_algorithm,0.0,1.0,0.0026989030011463
input_ranges_algorithm_1,True,True,True,1,61,1,0,31,iterated_maximum_matching,0.0,1.0,0.0027221170021221
input_ranges_algorithm_1,True,True,True,1,61,1,0,46,per_category_round_robin,0.0,0.0,11.405925383005524
input_ranges_algorithm_1,True,True,True,1,61,1,0,46,per_category_round_robin_optimized,0.0,0.0,11.1270406509866
input_ranges_algorithm_1,True,True,True,1,61,1,0,46,egalitarian_algorithm,0.0,0.0,0.0875253699778113
input_ranges_algorithm_1,True,True,True,1,61,1,0,46,utilitarian_algorithm,0.0,0.0,0.0052869339997414
input_ranges_algorithm_1,True,True,True,1,61,1,0,46,iterated_maximum_matching,0.0,0.0,0.0052972879784647
input_ranges_algorithm_1,True,True,True,1,61,1,0,61,egalitarian_algorithm,0.0,0.0,0.098151198006235
input_ranges_algorithm_1,True,True,True,1,61,1,0,61,utilitarian_algorithm,0.0,0.0,0.0065142000094056
input_ranges_algorithm_1,True,True,True,1,61,1,0,61,iterated_maximum_matching,0.0,0.0,0.0066276239813305
input_ranges_algorithm_1,True,True,True,1,61,1,0,76,egalitarian_algorithm,0.0,0.0,0.1807367940200492
input_ranges_algorithm_1,True,True,True,1,61,1,0,76,utilitarian_algorithm,0.0,0.0,0.0056576910137664
input_ranges_algorithm_1,True,True,True,1,61,1,0,76,iterated_maximum_matching,0.0,0.0,0.005781471991213
input_ranges_algorithm_1,True,True,True,1,61,1,0,91,egalitarian_algorithm,0.0,0.0,0.1482275229936931
input_ranges_algorithm_1,True,True,True,1,61,1,0,91,utilitarian_algorithm,0.0,0.0,0.0071879199822433
input_ranges_algorithm_1,True,True,True,1,61,1,0,91,iterated_maximum_matching,0.0,0.0,0.0093238189874682
input_ranges_algorithm_1,True,True,True,1,61,1,0,106,egalitarian_algorithm,0.0,0.0,0.2422925049904734
input_ranges_algorithm_1,True,True,True,1,61,1,0,106,utilitarian_algorithm,0.0,0.0,0.0110326030116993
input_ranges_algorithm_1,True,True,True,1,61,1,0,106,iterated_maximum_matching,0.0,0.0,0.00827627297258
