num_of_agents,num_of_items,value_noise_ratio,algorithm,random_seed,solver,utilitarian_value,egalitarian_value,max_envy,mean_envy,max_deficit,mean_deficit,num_with_top_1,num_with_top_2,num_with_top_3,runtime
200,25,0.0,iterated_maximum_matching_adjusted,3,,57.80979715,47.31182796,10.8490566,2.330545045,1,1.0,193,200,200,0.8182045
200,25,0.0,iterated_maximum_matching_adjusted,4,,49.882411,37.78625954,14.69465649,4.193247342,1,1.0,152,187,200,0.8048897
200,25,0.0,TTC_function,0,,56.91935793,42.73318872,14.71264368,3.475740527,1,1.0,150,191,200,0.1394576
200,25,0.0,TTC_function,1,,65.76338757,52.95566502,12.22826087,2.62301167,1,1.0,179,200,200,0.13892
200,25,0.0,TTC_function,2,,57.18997662,44.85125858,12.40694789,3.155570593,1,1.0,169,196,200,0.1670057
200,25,0.0,TTC_function,3,,57.47657707,46.12068966,14.00966184,3.698179331,1,1.0,191,199,200,0.151716
200,25,0.0,TTC_function,4,,49.41630074,36.82170543,13.56589147,4.424380648,1,1.0,163,179,195,0.1809961
200,25,0.0,SP_function,0,,55.48140237,45.25386313,12.06896552,3.337803572,1,1.0,150,191,200,0.2074711
200,25,0.0,SP_function,1,,64.10127762,53.01204819,11.36950904,1.924764239,1,1.0,179,200,200,0.1572171
200,25,0.0,SP_function,2,,55.25393116,43.31896552,11.70731707,3.080745029,1,1.0,169,196,200,0.1639458
200,25,0.0,SP_function,3,,56.02477661,42.82608696,14.85849057,2.995434566,1,1.0,191,199,200,0.1758148
200,25,0.0,SP_function,4,,47.78844798,36.73870334,14.3442623,3.759677932,1,1.0,163,178,194,0.1870767
200,25,0.2,iterated_maximum_matching_unadjusted,0,,59.34616479,45.28301887,13.24200913,2.336695045,1,1.0,165,197,200,1.1245956
200,25,0.2,iterated_maximum_matching_unadjusted,1,,68.00382632,56.01851852,12.60273973,1.424961435,1,1.0,186,200,200,1.0787614
200,25,0.2,iterated_maximum_matching_unadjusted,2,,60.03845625,47.13656388,13.68909513,1.988072923,1,1.0,184,199,200,0.8894342
200,25,0.2,iterated_maximum_matching_unadjusted,3,,59.51468779,50.32119914,10.67285383,1.98403291,1,1.0,200,200,200,1.0097998
200,25,0.2,iterated_maximum_matching_unadjusted,4,,52.51758019,40.32549729,14.88933602,3.347457567,1,1.0,164,194,200,0.9460766
