num_of_agents,num_of_items,value_noise_ratio,algorithm,random_seed,utilitarian_value,egalitarian_value,runtime
3,3,1,solve,1,162.77887788778878,153.0,0.043443301001389045
3,3,1,improved_high_multiplicity_fair_allocation,0,0.0,0,0.05378523000035784
3,3,1,improved_high_multiplicity_fair_allocation,1,162.77887788778878,153.0,0.017516091000288725
3,3,1,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.009224287001416087
3,3,1,second_improved_high_multiplicity_fair_allocation,1,162.77887788778878,153.0,0.09576677700169967
3,5,0,high_multiplicity_fair_allocation,0,224.41546996735363,170.78651685393257,0.43872890299826395
3,5,0,high_multiplicity_fair_allocation,1,164.04973830716403,153.53535353535352,3.725586321001174
3,5,0,solve,0,231.69100122173487,186.51685393258427,0.009999198002333287
3,5,0,solve,1,163.77304397106377,159.40594059405942,0.04268663599941647
3,5,0,improved_high_multiplicity_fair_allocation,0,224.41546996735363,170.78651685393257,0.46346407899909536
3,5,0,improved_high_multiplicity_fair_allocation,1,164.04973830716403,153.53535353535352,4.145952934999514
3,5,0,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.011400342998967972
3,5,0,second_improved_high_multiplicity_fair_allocation,1,0.0,0,0.012566697998408927
3,5,0.2,high_multiplicity_fair_allocation,0,238.99255877822932,180.43478260869566,11.778953539000213
3,5,0.2,high_multiplicity_fair_allocation,1,173.29066239957328,153.53535353535352,4.750802925998869
3,5,0.2,solve,0,246.01597728664478,194.56521739130434,0.007732058998954017
3,5,0.2,solve,1,174.94082741607494,153.53535353535352,0.007776062997436384
3,5,0.2,improved_high_multiplicity_fair_allocation,0,238.99255877822932,180.43478260869566,11.177824129001237
3,5,0.2,improved_high_multiplicity_fair_allocation,1,173.29066239957328,153.53535353535352,4.622290051000164
3,5,0.2,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.011458840999694075
3,5,0.2,second_improved_high_multiplicity_fair_allocation,1,0.0,0,0.011785807000705972
3,5,0.5,high_multiplicity_fair_allocation,0,0.0,0,30.90950539500045
3,5,0.5,high_multiplicity_fair_allocation,1,178.27469413608029,161.6161616161616,0.41710561999934725
3,5,0.5,solve,0,256.5356298547788,211.70212765957447,0.009368335999170085
3,5,0.5,solve,1,180.89515618228492,161.6161616161616,0.011384718996851007
3,5,0.5,improved_high_multiplicity_fair_allocation,0,0.0,0,30.523802349001926
3,5,0.5,improved_high_multiplicity_fair_allocation,1,178.27469413608029,161.6161616161616,0.3973880760022439
3,5,0.5,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.011568881000130204
3,5,0.5,second_improved_high_multiplicity_fair_allocation,1,0.0,0,0.011813159999292111
3,5,0.8,high_multiplicity_fair_allocation,0,0.0,0,4.309708578999562
3,5,0.8,high_multiplicity_fair_allocation,1,194.17171717171718,151.5151515151515,0.1569082440000784
3,5,0.8,solve,0,281.411669606114,189.58333333333331,0.012617506999959005
3,5,0.8,solve,1,191.64983164983164,175.0,0.01456469000186189
3,5,0.8,improved_high_multiplicity_fair_allocation,0,0.0,0,4.2769702750010765
3,5,0.8,improved_high_multiplicity_fair_allocation,1,194.17171717171718,151.5151515151515,0.17285397700106842
3,5,0.8,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.012243795998074347
3,5,0.8,second_improved_high_multiplicity_fair_allocation,1,0.0,0,0.012645121998502873
3,5,1,high_multiplicity_fair_allocation,0,0.0,0,5.331705324999348
3,5,1,high_multiplicity_fair_allocation,1,194.66666666666666,174.0,0.28809406999789644
3,5,1,solve,0,288.73901253687933,197.9591836734694,0.059336885999073274
3,5,1,solve,1,196.66666666666666,180.0,0.020724036996398354
3,5,1,improved_high_multiplicity_fair_allocation,0,0.0,0,5.287389992998214
3,5,1,improved_high_multiplicity_fair_allocation,1,194.66666666666666,174.0,0.30081201599750784
3,5,1,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.012075582999386825
3,5,1,second_improved_high_multiplicity_fair_allocation,1,0.0,0,0.012054524002451217
3,6,0,high_multiplicity_fair_allocation,0,240.64992083612592,174.07407407407408,0.1513289389986312
3,6,0,high_multiplicity_fair_allocation,1,168.70790412374572,162.3762376237624,0.5343940929997189
3,6,0,solve,0,238.19778341152588,174.07407407407408,0.019273960999271367
3,6,0,solve,1,168.70790412374572,162.3762376237624,0.007350094998400891
3,6,0,improved_high_multiplicity_fair_allocation,0,240.64992083612592,174.07407407407408,0.16692229299951578
3,6,0,improved_high_multiplicity_fair_allocation,1,168.70790412374572,162.3762376237624,0.5141205369982345
3,6,0,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.013134749002347235
3,6,0,second_improved_high_multiplicity_fair_allocation,1,0.0,0,0.013250421001430368
3,6,0.2,high_multiplicity_fair_allocation,0,244.15259537210753,168.29268292682926,0.3850296189993969
3,6,0.2,high_multiplicity_fair_allocation,1,173.66666666666666,164,8.591832267000427
3,6,0.2,solve,0,244.15259537210753,168.29268292682926,0.025254004998714663
3,6,0.2,solve,1,177.0,156,0.007445791001373436
3,6,0.2,improved_high_multiplicity_fair_allocation,0,244.15259537210753,168.29268292682926,0.38611315000161994
3,6,0.2,improved_high_multiplicity_fair_allocation,1,173.66666666666666,164,8.548034014998848
3,6,0.2,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.012586532000568695
3,6,0.2,second_improved_high_multiplicity_fair_allocation,1,0.0,0,0.012453914998332039
3,6,0.5,high_multiplicity_fair_allocation,0,0.0,0,38.73582415800047
3,6,0.5,high_multiplicity_fair_allocation,1,187.41584158415841,175.24752475247524,6.429773714997282
3,6,0.5,solve,0,234.55590864589854,184.52380952380955,0.07231065199812292
3,6,0.5,solve,1,189.32343234323434,172.0,0.0072212019986181986
3,6,0.5,improved_high_multiplicity_fair_allocation,0,0.0,0,38.7228416479993
3,6,0.5,improved_high_multiplicity_fair_allocation,1,187.41584158415841,175.24752475247524,6.544288930999755
3,6,0.5,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.012941510001837742
3,6,0.5,second_improved_high_multiplicity_fair_allocation,1,0.0,0,0.012976183999853674
3,6,0.8,high_multiplicity_fair_allocation,0,242.15686274509804,176.47058823529412,0.15228008899794077
3,6,0.8,high_multiplicity_fair_allocation,1,196.003300330033,164.0,26.341050977000123
3,6,0.8,solve,0,231.64109121909632,204.70588235294116,0.03795048699976178
3,6,0.8,solve,1,198.25082508250827,178.0,0.003933205996872857
3,6,0.8,improved_high_multiplicity_fair_allocation,0,242.15686274509804,176.47058823529412,0.15720817700275802
3,6,0.8,improved_high_multiplicity_fair_allocation,1,196.003300330033,164.0,26.50067542100078
3,6,0.8,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.012224941001477418
3,6,0.8,second_improved_high_multiplicity_fair_allocation,1,0.0,0,0.013877481000236003
3,6,1,high_multiplicity_fair_allocation,0,0.0,0,59.1567947500007
3,6,1,high_multiplicity_fair_allocation,1,204.00660066006603,198.01980198019803,2.6051765910015092
3,6,1,solve,0,234.1591372777616,200.0,0.028013918003125582
3,6,1,solve,1,208.94059405940595,204.0,0.00980447300025844
3,6,1,improved_high_multiplicity_fair_allocation,0,0.0,0,59.802867800997774
3,6,1,improved_high_multiplicity_fair_allocation,1,204.00660066006603,198.01980198019803,2.5975899699988076
3,6,1,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.011856245000672061
3,6,1,second_improved_high_multiplicity_fair_allocation,1,0.0,0,0.011510642998473486
4,2,0,high_multiplicity_fair_allocation,0,0.0,0,0.010775505001220154
4,2,0,high_multiplicity_fair_allocation,1,0.0,0,0.01126266199935344
4,2,0,solve,0,0.0,0,0.012717338002403267
4,2,0,solve,1,0.0,0,0.00299097699826234
4,2,0,improved_high_multiplicity_fair_allocation,0,0.0,0,0.011984212000243133
4,2,0,improved_high_multiplicity_fair_allocation,1,0.0,0,0.012497345996962395
4,2,0,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.012863741998444311
4,2,0,second_improved_high_multiplicity_fair_allocation,1,0.0,0,0.013246336002339376
4,2,0.2,high_multiplicity_fair_allocation,0,0.0,0,0.011901417001354275
4,2,0.2,high_multiplicity_fair_allocation,1,0.0,0,0.011958089999097865
4,2,0.2,solve,0,0.0,0,0.005359087001124863
4,2,0.2,solve,1,0.0,0,0.004082379997271346
4,2,0.2,improved_high_multiplicity_fair_allocation,0,0.0,0,0.012016351000056602
4,2,0.2,improved_high_multiplicity_fair_allocation,1,0.0,0,0.011123465999844484
4,2,0.2,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.012192440000944771
